subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,ctxdm,col,02,101213.0,46,"[0.3644762933254242, 0.14774344861507416, 0.17368240654468536]",3
sub-01,ctxdm,lco,02,31110.0,46,"[0.3806082606315613, 0.014071641489863396, -0.16166315972805023]",4
sub-01,ctxdm,lco,02,121311.0,46,"[0.45854318141937256, -0.15697552263736725, -0.0906372219324112]",4
sub-01,ctxdm,lco,02,10010.0,46,"[0.3204297423362732, -0.4061933755874634, -0.3257667124271393]",4
sub-01,ctxdm,lco,02,31002.0,46,"[0.3770337700843811, 0.2199706882238388, -0.22725670039653778]",1
sub-01,ctxdm,lco,02,110100.0,46,"[0.06961426138877869, -0.6029930710792542, -1.0146851539611816]",1
sub-01,ctxdm,lco,02,100103.0,46,"[0.6579646468162537, -0.5876640677452087, -1.1016688346862793]",4
sub-01,ctxdm,lco,02,0302.0,46,"[0.5334509611129761, -0.7624015212059021, -0.8531492948532104]",4
sub-01,ctxdm,lco,02,120113.0,46,"[0.415730357170105, -0.7622959017753601, -0.7206507325172424]",4
sub-01,ctxdm,lco,02,30002.0,46,"[-0.015319994650781155, -0.409312903881073, -0.18325117230415344]",1
sub-01,ctxdm,lco,02,120212.0,46,"[0.13961488008499146, 0.2812345623970032, 0.14414680004119873]",4
sub-01,ctxdm,lco,02,111013.0,46,"[1.106222152709961, 1.2301387786865234, 1.8900340795516968]",1
sub-01,ctxdm,lco,02,11213.0,46,"[1.4655022621154785, 0.39495211839675903, 0.21421261131763458]",4
sub-01,ctxdm,lco,02,10003.0,46,"[-0.05602334812283516, -0.19039413332939148, -0.22406530380249023]",4
sub-01,ctxdm,lco,02,110201.0,46,"[0.32569628953933716, -0.34080272912979126, -0.3468646705150604]",3
sub-01,ctxdm,lco,02,11101.0,46,"[0.1792367398738861, -0.2950827181339264, -0.02598937414586544]",3
sub-01,ctxdm,lco,02,1003.0,46,"[0.9727392792701721, -0.2611701786518097, -0.22545675933361053]",3
sub-01,ctxdm,lco,02,101213.0,46,"[0.5504792928695679, -0.05839843302965164, 0.23111824691295624]",3
