subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,1back,ctg,01,0313101011,47s,"[-0.6954433917999268, 0.011349301785230637, -0.3482294976711273, -0.2972271144390106, -0.19206151366233826, -0.2852611243724823, -0.22028294205665588, -0.20232154428958893, -0.22801432013511658, -0.2210204303264618, -0.07832375168800354, -0.25495827198028564]",4
sub-01,1back,ctg,01,0313101011,9-46d,"[-0.39036673307418823, 0.12836964428424835, -0.3005630373954773, -0.0854569748044014, -0.05700278654694557, -0.10450340062379837, -0.11730688810348511, -0.13113272190093994, -0.18797071278095245, -0.0588911734521389, -0.1569945067167282, -0.11131030321121216]",4
sub-01,1back,ctg,01,1001110112,10pp,"[-0.017216527834534645, 0.023867463693022728, -0.06844233721494675, -0.04335436597466469, -0.09860140085220337, -0.05384780466556549, -0.1878150999546051, -0.09204266220331192, -0.24608711898326874, -0.13569596409797668, -0.18724484741687775, -0.22376924753189087]",4
sub-01,1back,ctg,01,1001110112,10v,"[-0.3991616368293762, 0.06873464584350586, -0.31888115406036377, -0.15883727371692657, -0.2159222811460495, -0.16856291890144348, -0.24309603869915009, -0.19791150093078613, -0.12611226737499237, -0.28818702697753906, -0.05725521966814995, -0.30534064769744873]",4
sub-01,1back,ctg,01,1001110112,46,"[0.1349317729473114, -0.10045875608921051, -0.05345236882567406, -0.04899722337722778, 0.029979093000292778, -0.08348342776298523, -0.08081641793251038, -0.1335221827030182, -0.04877206310629845, -0.18445724248886108, -0.09331948310136795, -0.26053857803344727]",4
sub-01,1back,ctg,01,1001110112,47s,"[0.05632955580949783, 0.11702072620391846, -0.026749972254037857, 0.08061493188142776, 0.04783133044838905, 0.13674227893352509, 0.005356416571885347, 0.14355985820293427, 0.029082052409648895, 0.1380675584077835, 0.02453717589378357, 0.121353879570961]",4
sub-01,1back,ctg,01,1001110112,9-46d,"[-0.05262891575694084, 0.10653213411569595, -0.272966593503952, -0.039305154234170914, -0.13297365605831146, -0.11255142092704773, -0.2688537538051605, -0.18465721607208252, -0.2346288561820984, -0.24887844920158386, -0.17161056399345398, -0.35951074957847595]",4
sub-01,1back,ctg,01,1003110312,10pp,"[-0.06299401819705963, 0.216843381524086, -0.020990781486034393, 0.06188880279660225, 0.08735189586877823, 0.021871741861104965, 0.05693327262997627, -0.008135935291647911, 0.05229239538311958, -0.0723394900560379, 0.06477071344852448, -0.1350819617509842]",4
sub-01,1back,ctg,01,1003110312,10v,"[-0.22568631172180176, 0.0650438442826271, -0.13162215054035187, -0.09398893266916275, -0.08323504775762558, -0.09582527726888657, -0.06891296803951263, -0.16336336731910706, -0.016925234347581863, -0.17232879996299744, -0.06624149531126022, -0.17149269580841064]",4
sub-01,1back,ctg,01,1003110312,46,"[-0.13294388353824615, -0.03793207183480263, 0.04705867916345596, -0.0839712917804718, 0.09920937567949295, -0.023290270939469337, 0.1563802808523178, -0.0869116485118866, 0.16011860966682434, -0.003589384024962783, -0.0637175515294075, -0.016149654984474182]",4
sub-01,1back,ctg,01,1003110312,47s,"[-0.6802479028701782, 0.08871877193450928, -0.46261733770370483, -0.24724870920181274, -0.19434580206871033, -0.2923027276992798, -0.17991267144680023, -0.3068649470806122, -0.13928991556167603, -0.3062306046485901, -0.13651494681835175, -0.2691941261291504]",4
sub-01,1back,ctg,01,1003110312,9-46d,"[-0.058510761708021164, 0.15783433616161346, 0.03474636375904083, 0.05349773168563843, 0.1447218805551529, 0.10639484226703644, 0.17339970171451569, 0.047758959233760834, 0.16380707919597626, 0.11193078011274338, -0.056284964084625244, 0.07385707646608353]",4
sub-01,1back,ctg,01,1202130303,10pp,"[-0.283123642206192, 0.05698322504758835, -0.14561550319194794, -0.10779301822185516, -0.08167330920696259, -0.09768271446228027, -0.08328558504581451, -0.1101154088973999, -0.033845894038677216, -0.14523519575595856, 0.015926973894238472, -0.13171370327472687]",4
sub-01,1back,ctg,01,1202130303,10v,"[0.29034340381622314, -0.12049151211977005, 0.35343021154403687, 0.026010004803538322, 0.2691229283809662, 0.011751324869692326, 0.23742027580738068, 0.0007437795866280794, 0.16753889620304108, 0.006177634000778198, 0.07097618281841278, -0.013917413540184498]",4
sub-01,1back,ctg,01,1202130303,46,"[-0.48321619629859924, -0.05290915071964264, -0.33701658248901367, -0.23203781247138977, -0.2187560349702835, -0.2608860731124878, -0.16943252086639404, -0.30478647351264954, -0.18395908176898956, -0.2665316164493561, -0.08932249248027802, -0.3109646439552307]",4
